Medicine Name,Price
B 29 Gold AQ Injection,57.05
Bus Q Tablet,39.9
Britorva 10F Tablet,190
BRO-RT Tablet,400
Baroliv 500mg Tablet,75
Brintop 5% Solution,495
Belbact Cream,110
Besol Injection,4
Bylenta M 40mg/25mg Tablet,206
Betamox Plus 250mg/250mg/60Million spores Capsule,56
Baroliv 500mg Tablet,75
Bisred Tablet,89
Brintop Diva 2% Topical Solution,857
Brimosoft Eye Drop,225
Brivanext 75mg Tablet,243
Bactopod CV 200mg/125mg Tablet,272
BRO-RT Tablet,400
Bisobis H 5mg/6.25mg Tablet,55
Besoloc 5mg Tablet,37.75
Bisonext 10 Tablet,237.4
Bouquet M Tablet,38
Briv + 75mg Tablet,266
Blisto Trio 2 Tablet PR,117
Betasan 16 Tablet,73
Brio B Eye Drop,275
Bencodox PG 75mg/10mg/1500mcg Tablet,190
Benztre-D Capsule SR,182
Bioliv 300mg Tablet,425
Brutacross 100mg Tablet,150
Beninorm TM 4mg/40mg Tablet,129
Bisomax 2.5 Tablet,25
Broxine Tablet,34.1
Balance 50 mg/500 mg Tablet,28
Beta 0.5mg Tablet,6
Biofen 120mg Tablet,60
Bioryl Forte Tablet,110
Beta Bloc 5mg/50mg Tablet,25
Bestin 16 Tablet,78
Balance 50 mg/500 mg Tablet,28
Betasalic Lotion,24.06
Bestoflox 200mg Tablet,52.14
Bupatch 20mcg Transdermal Patch,2010
B N C OINTMENT,29.81
Britzilam 25 Tablet,136.9
Benidin T 4mg/40mg Tablet,143.9
Biolyf Capsule,672
Brite Eye Drop,180
Blisto 1 Tablet,41
Budate 200 Transcaps,111.85
Bactoclav Drops,98
Benitowa 4 Tablet,159
Betnesol 0.5mg Tablet,23.41
Bilalite M 20mg/10mg Tablet,149
Be Slon 0.5mg Tablet,13
Benuvo Injection,129.68
Bromax Syrup,120.37
Brintellix 20mg Tablet,1244
Bevatas 100 Injection,9500
Bosentas 125 Tablet,1644.72
Brill-X Syrup,79.92
Biomezole 20mg Capsule,41.8
Biomyf-S 360 Tablet,820
Brogard AB 100mg/600mg Tablet,170
Bolanz 5mg Tablet,32
Bon-D3 Oral Drops,75
Bett Vaccine,28.95
Bisoline 2.5 Tablet,8
Bifenac-SP Tablet,77.3
Betalive 24mg Tablet,110
Budesol 1.25mg/1mg Inhaler,278
Besule 90mg/48mg/100mg Capsule,28
Betasone N Eye/Ear Drops,29
Barozyme 192mg/40mg Tablet,66
Biproate 500 Tablet CR,103.1
Budesule 0.5mg Respules,24
Butahex BR Syrup,25.65
Biopride 1mg Tablet,39.87
Bilacad Tablet,120
Bromin Tablet,300
Bisofig 5mg Tablet,80
Brick 500mg/25mg/5mg Tablet,15
Bludrox 250mg Tablet,30
Bilkwik M Tablet,149
Bingo Wax Ear Drop,75
Brimorx Eye Drop,200
Brored Syrup,72
Bylenta MLN 10mg/25mg/40mg Tablet,186
Brinda 50 Tablet,162.6
Bisonol 5mg Tablet,45
Broncofree-LS Expectorant,75
Burnheal Cream,17
Baim Plus NT 75mg/10mg/1500mcg Tablet,160
Bifosa 70 Tablet,195
B-Cin 200mg Tablet,309
Bepotime Eye Drop,198
Blemon L 5mg/10mg Tablet,103
Bestodol 100 Injection,20.8
Bagnor Tablet,149
Brtgesic 90mg/48mg/100mg Tablet,120
Budanour-L Respules,41.8
Busera 400 mg/325 mg/10 mg Tablet,53.46
Bryxta 400 Injection,99360
Blemon L 5mg/10mg Tablet,103
Bricanyl 1.5mg Syrup,37.7
Bileace 300mg Tablet,374
Belsalic Ointment,162
Big-Tum 1.5G Injection,136.37
Bisopharm A 2.5 Tablet,68.32
Biocort 6mg Tablet,79
Biozobid 50mg/10mg Tablet,163.88
B12 Film Orally Disintegrating Strip,230
Bgest 200mg Tablet SR,270
Burp-DSR 30mg/20mg Capsule,65
Binex CV Dry Syrup,176
Biciphage 500 SR Tablet,28.07
Blenda D Tablet,185
Bilahist 40mg Tablet,180
Bactorub Antiseptic Solution,630
Biospan 10mg Tablet,25
Biolis 5mg Tablet,38
Bitavia 12mg Tablet,140
Bynicor 10mg Tablet,147
Brocojoy DX Syrup,97
Bi-OPV Oral Vaccine,247.8
Befadox LB 100mg Tablet,88
Betazox 16 Tablet,102.48
Bolstran 150mg Injection,10500
Bi-OPV Oral Vaccine,247.8
Bariderm-AL Gel,149.9
Bactus B Syrup,42
Broncho Tussin LS Drop,70
Briza D 30mg/20mg Capsule SR,165
Betalyst F 40mg/10mg Tablet SR,130.9
BMP-Forte Capsule,180
Bularid Tablet,100
Benidin 4 Tablet,108.2
Biltec M 20mg/10mg Tablet,133.93
Bentop 40mg Tablet,59
Bisoheart-T 2.5mg/40mg Tablet,122.3
Bilakem Mont 20mg/10mg Tablet,172
Bisotab AM 5mg/5mg Tablet,110
Bonotiode Injection,1100
Bphlo DS 8mg/0.5mg Capsule,324
Brivasure Injection,153
Benfosafe Capsule,260
Bunase 1mg Respules,26
Betamax 4mg Injection,4.17
Burnol Prickderm Cream,60
Borit SB 130mg Capsule,250
Bromenz-D Tablet,185
Bitflox-OZ Tablet,79
Bchol 25mg Tablet,175
Best 10mg Tablet,69.5
Brinzobrim Eye Drop,299
Bacloford 10mg Tablet,90
Betaderm Z Cream,88
Benzadaf Gel,385
Borit SB 130mg Capsule,250
Bacloford 10mg Tablet,90
Budepress 400 Inhaler,400.51
Bilbay M Tablet,157.7
Bipi H 40mg/12.5mg Tablet,75
Besilet 6mg Tablet,84.5
Biotrexate 2.5mg Tablet,49.5
Biosulin N 40IU Injection,152.98
Baseboom 100mg Tablet,127
Bacinox 1% Cream,248
Bylenta M 40mg/50mg Tablet,130.8
Budojet 0.5mg Respules (2ml Each),126.25
Betagrain F 40mg/10mg Tablet,126.5
Brutide-D Tablet,145
Benidin M 4mg/50mg Tablet SR,143.9
Brivepsy 75mg Tablet,322
Bioclavid 500mg/125mg Tablet,111
Bromoside-D Tablet,180
Betapro-ET Tablet,57
Bayros 10mg Tablet,87.8
Budecort CR Capsule,450
Burex BR Syrup,31.5
Blink I 0.5% Eye Drop,113.3
Bio 12 Tablet,55
Bacstan O Tablet,145
Brivasure Oral Solution,437.5
Bodase-D Tablet,60
Brofil 100mg Capsule,74
Binex CV 500mg/125mg Tablet,490.05
Betaferon 250mcg Injection,4606.32
Binex CV 500mg/125mg Tablet,490.05
Brokinz-LS Oral Drops,33
Butabrom Syrup,72
Beta Cobal Injection,59
Bestoflox N 100 mg/50 mg Suspension,65.1
Biodens Pro Hair Lotion Solution,1093
Biduret Tablet,57.59
Biolax 5mg Tablet,10.81
Bakwel 8mg Capsule,166.67
Budate 400 Transcaps,201.2
Btrip 90mg/48mg/100mg Tablet,200
Berrycan Syrup,84
Brovent Syrup,42.88
Bariderm F Cream,168
Brimodin P 0.15% Eye Drop,169
Britny 0.25 Tablet MD,56
Besicor AM 5mg/2.5mg Tablet,106.5
Beplex Plus Injection,44.95
Benitor 8mg Tablet,135
Beude-F Respule (2ml Each),273.65
Beclosoft Cream,79
Budevin F 6mcg/400mcg Inhaler,400
Betago 16mg Tablet,55
Benol AM 5 mg/50 mg Tablet,35.9
Beedan 50mg Tablet,8350
Bilmegh M 20mg/10mg Tablet,180
Biglac-R Sachet,30
Bax CV 500mg/125mg Tablet,172.69
Bionac Forte Tablet,50
Beclin Plus 100mg/600mg Tablet,171
BUPROCARE 1MG TABLET,220
Bronco-NAC Tablet,210
Brodex Syrup,45
BlackCrown Forte 5% Solution,925
BETADINE 10% PAINT,136
Bionex 20mg Tablet DT,65
Bromtryp 90mg/48mg/100mg Tablet,170
Bupromat 150mg Tablet ER,115
Bestopas 20mg/325mg Tablet,37.5
Biocarb 450mg Injection,2807.61
Bone-C Plus Capsule,237
Biofen SP Tablet,72
Betahistol  16mg Tablet,78.5
B-Stil 24 Tablet,277.94
Biodens Hair Lotion,724
Bricarex D 30mg/5ml Expectorant,114.95
Briviact 75mg Tablet,1494
Bripca 100mg Tablet,474
BD Lym 408mg Capsule,495
Brilinta 90mg Tablet,420
Bact M 2% Ointment,90
Bactol 500mg Capsule,54.75
Bestocold Tablet,32.37
Biozen 20mg Tablet,86
Benzylpenicillin 500000IU Injection,6.15
Biomentin 625mg Tablet,109
Bilafav Oral Solution Strawberry,133.1
Bactilem 1500mg Injection,379.39
Bioran Plus 50 mg/500 mg Tablet,35
Biozen 20mg Tablet,86
Benzylpenicillin 500000IU Injection,6.15
Bactinice Capsule,198
Biobil 20mg Tablet,117
Bilast 40mg Tablet,215
Bladmir-S 50 Combikit,385.4
Brox LS Syrup,95
Brivup 100 Tablet,370
Beclate 200 Inhaler,601.74
Belzole 2% Shampoo,299
Baga 100 Tablet,125.12
Brivapride 25mg Tablet,87
Benzonix Gel,66
Baclin 4gm/500mg Injection,415
Beclate 400mcg Rotacap,131.76
Barb 20mg Tablet,45
Bactilem 1500mg Injection,379.39
Budevent 0.5mg Respules,18.95
Betaderm GZ Cream,131
Bicof Syrup,70
Brufen Power Pain Relief Gel,160
Bifine 1% Cream,49
Bell 40mg Tablet,62
Broxol A Syrup,76
Brovis-LS Syrup,68
Betacon 0.5mg Tablet,4.5
Buscalm 5mg Tablet,23.15
Benakof Liquid,50
Bimet Tablet,18.7
B-DOX 10mg/10mg Tablet,24.9
Brovis-LS Syrup,68
Benakof Liquid,50
Beworm 200mg Syrup,19.82
Bactoclav 1000mg/200mg Injection,157.51
Bladospas Tablet,129
Bexcin 500mg Tablet,80.95
Becem-N Cream,64
Beri 5mg Tablet,70
Bylenta MLN 10mg/50mg/40mg Tablet,228.45
Bactogard 100mg Tablet DT,140
Budepress 0.5mg Respules,23.55
Benzonext 5 Gel,90
Breakuf LS Syrup,133
Broncorex Expectorant,141
Betgenta-Z Cream,109.45
Benfomec Soft Gelatin Capsule,240
Biodib 15 Tablet,80
Bupicain 5mg Injection,75
Bimet Tablet,18.7
B-DOX 10mg/10mg Tablet,24.9
Biotor Gold 75mg/10mg/75mg Capsule,64
Bello D 30mg/20mg Capsule,100
Bro-Zedex LS Plus Expectorant,120.25
Brocin Syrup,54
B.P.Norm 50mg Tablet,9.1
Beat HF 7.5 Tablet,150
Baclozee 10mg Tablet,40
Baga 100 Capsule,125.12
Bolanz 2.5mg Tablet,25
Bitmet R 25mg/2.5mg Tablet ER,119
Biodib 15 Tablet,80
Briteova 5 Tablet,218
Bro-Zedex  LS Kid Syrup,107.5
Budalin Respules,200
Betapol ET 0.5mg/20mg Tablet,69
Beclo-N Cream,45
Bestomax 625 Tablet,117.43
Betabloc 10mg Tablet,3
Bronac Eye Drop,155
Bcd Tablet,34.28
BP Tel AM 40mg/5mg Tablet,73
Bectrap CV Tablet,320
Bexam 5mg Tablet,39
Biodipin 2.5mg Tablet,2.33
Batcium-K2 Capsule,305
BRONCO XP  SYRUP 15 MG/50 MG/1 MG,50
Brutus DX Syrup,84.5
Bisveda 2.5mg Tablet,40
Bepozic Tablet,108
Bmox 500mg Capsule,62
Bfix 200mg Tablet,21
Bisobis H 2.5mg/6.25mg Tablet,55
Bilif 10mg Tablet,57.37
Btcom Eye Drop,160
Brimopress Eye Drop,142.91
Bifona Cream,200
Bronex Syrup,35
BP Tel AM 40 mg/5 mg Tablet,77
Blucef 500mg Capsule,116.18
Benzo Lotion,34.44
Bilanol 20mg Tablet,157
BL Hist 20mg Tablet,175
Bronko Plus 2mg/100mg Tablet,5.81
Bosuvi 100mg Tablet,5450
Brethmol Plus Syrup,47.62
Beloc Plus 0.25mg/20mg Tablet,23
Bicef 250mg Tablet DT,28
Bliskof Syrup,58
Burnoff Cream,45
Biosol 4mg Injection,4.58
Biozocin 2.5 XL Tablet,118.5
Bold Care 5 Tablet,220
Biodoxi 100 Tablet,12.48
Bromsal Syrup,50
Beclolix GM Cream,55
Barohexy 2mg Tablet,7.27
Blucob NT 75mg/10mg Tablet,134
Bifosa 35 Tablet,96.8
Bimaday Eye Drop,218
Bam NT 400mg/10mg Tablet,199
Bioctiz L 5mg Tablet,39
Bisofig 2.5mg Tablet,80
Budepress 400 Capsules,238.92
Bioclav 625 LB Tablet,160
Bigflam Tablet,119
Benitab 8mg Tablet,90
Biorex Syrup,45
Bilten 20mg Tablet,126.8
Bixigard O 200mg/200mg Tablet,151.78
Biodol SP 50mg/325mg/15mg Tablet,72
Benz Adp Gel,299
Bronchoril 100mg Capsule,120
Best 20mg Tablet,119.95
Brinzemic-B Eye Drop,448.95
Brivatab 50mg Tablet,150
Bloc C 10mg Tablet,60
Biojoynt Tablet,165
BALOFLOX 100MG TABLET,90
Bentec Plus 6mg/400mg Tablet,19
Belloid 10mg Tablet,28.75
Bisomax AM 2.5mg/2.5mg Tablet,65
Betavue 16mg Tablet,115
Boostim BD 200 mg/28.5 mg Dry Syrup,55.1
Belrin-LM 5mg/10mg Tablet,11
Beclom 25mg Tablet,42
Bisocar 2.5mg Tablet,23.9
Bitatel M 3D 6.25mg/50mg/40mg Tablet,120
Biodebol 50mg Injection,140
Brovis-D Syrup Sugar Free,85
Broncocet-Forte NF Tablet,99
Broxol-D Syrup,82
Bronil 2mg/100mg Tablet,79
Bilanix Syrup,108
Brozen 100 Capsule,105
Bactroban Cream,106.7
Bisoford 5mg Tablet,57
Benitowa-Beta 4mg/25mg Tablet ER,159
Babygesic 125 Oral Suspension,24.81
Bilaxten 20mg Tablet,356
Betni 0.5mg Tablet,6.96
Betni 0.5mg Tablet,6.96
Brenkof-D Syrup,69
Bacfen 25 Tablet DT,275
Bindsure-K Powder,155
Benztre Tablet,110
Brosmin Forte Tablet,36
Brocet D Syrup,52
Biocold Plus Tablet,45
Bromoshine DS 180mg/96mg/200mg Tablet,396
Bile Forte 300mg Tablet,320
Biodic-P Tablet,109.8
Bitatel MLN 50 Tablet ER,120
Brispred 4mg Tablet,51
Biodrot M 80mg/250mg Tablet,58
Bose 0.3mg Tablet,99.9
Bmont 10mg/10mg Tablet,105
Biselect 10 Tablet,96
Bonenice Plus Softgel Capsule,195
Brivalex 50mg Tablet,225
Briv Syrup,393.25
Banocof D Syrup,69.9
Beclate aquanase,55.25
Bisoheart 10mg Tablet,110
Biomus 2mg Capsule,848
Biomyf 500 Tablet,750
Benthai Forte Capsule,259
Budimist Respules 2ml,21.77
Brivgard 100 Tablet,386.8
Basalog 100IU/ml Injection,699
Benitowa-Beta 4mg/25mg Tablet ER,238.5
Britzilam 75 Tablet,396.7
Bronkonil Syrup,29.4
Basalog 100IU/ml Injection,699
Budenofil 3 Tablet CR,180
Brillo EZ 180mg/10mg Tablet,280
Budenol-F 400 Inhaler,408
Betleods 24mg Tablet,110
Betagal-TR 20 Capsule,27
Breaze-FX Tablet,130.8
Bisalto-M Tablet,210
Be-Flame Gel,80
Bentis DS 200mg/400mg Tablet,97.5
Bacigyl-N Suspension,16
Bitwel Injection,30
Bestogesic Kid 50 mg/125 mg Tablet,37.17
Butodol 2mg Injection,50.6
Bromex Plus 50 mg/1.25 mg/4 mg Syrup,52
Bivalex Plus 0.5mg/10mg Tablet,99.95
Bigfun 36 Gold 10mg/30mg Tablet,250
Britzilam Injection,119.9
Bdron 500 Tablet,21600
Beclowin N Ointment,12.5
Brivizac Eye Drop,390
Bidanzen 5mg Tablet,52
Balcuf A Syrup,60
Bonflox Suspension,39.42
Betablock XL 50 Tablet,67
Bromica Eye Drop,142
Betaspasm Tablet,76
Belzole Cream,151
Beclasone C Cream,22.9
Blocpro 1.25 Tablet,53
Brent LS Eye Drop,211
Brutacef 50mg Dry Syrup,54.43
Bromoshine D Tablet,207
Biopan-Dsr Tablet,90
Bripca 75mg Tablet,369.45
B Pod 200mg Tablet,225
Biocart MSM Tablet,200
Brivanext 25 Tablet,108.7
Bonvil D3 Tablet,75
Binaprex 250mg Tablet ER,84
Bigtel M 40mg/25mg Tablet ER,69
Blufen P 100mg/325mg Tablet,55
Brinolar BKC Free Eye Drop,514
Bibtral 400mg Tablet,790
Bupiprece 150mg Tablet SR,108
Bethnevoid 25mg Tablet,148.5
Bilabest-M 20mg/10mg Tablet,180
Biastrong 300mg Injection,2420
Bristol 25mg Tablet,21.5
Bigcef-CV 375 Tablet,160
Besilent Syrup,55
Briopan 40 Tablet,63
Bioffin Syrup,95.15
Bludec-SP Tablet,34.76
Betalol XR 25mg Tablet ER,41
Bromomeck Tablet,590
Biciphage 1000 Tablet SR,40.72
B-Straight 16mg Tablet,52
Bisodix 2.5 Tablet,90
Biosuganril 20 Tablet,238.64
Booster 50 Injection,215
Biolev 5mg Tablet,25.9
Biotears Eye Drop,465
Becmet N Cream,74.25
Budefine 6mcg/200mcg Inhaler,447
B N C WAX CLEANER Ear Drop,54
Broxo-Plus Syrup,50
Bevert 16mg Tablet,81
Bio Typh 25mcg Injection,160
Bromifen Eye Drop,159.5
Baxodap Tablet,236
Betabest AM 5mg/25mg Tablet,70.5
Bharglob 10% Injection,1149
Bacrite 10 Tablet,72.4
Biphyl 100mg Capsule,92
Bromocin Eye Drop,130
Brispam 0.25mg Tablet MD,19
Beclocort N Cream,14.9
Brivapride 100mg Tablet,345
Bisopharm 1.25mg Tablet,53.9
BETNOVATE P OINTMENT,17.02
Bicef 200mg Tablet,218
Brethex Syrup,48
Briopt Eye Drop,413
Biwork Cream,99
Berab-PF Vaccine,397.62
Bigomet 250 Tablet,11.2
Bilafored M 20mg/10mg Tablet,165
Broxin Tablet,21
Bactipol 500000units Injection,2200
Biocystein 600mg Tablet,379
Bisobis T 2.5mg/40mg Tablet,120
Bitmet 25mg Tablet,42.51
Bilastero M 20mg/10mg Tablet,159
Bilin LB Capsule,69
Brokuff Syrup,52
Benoquin  Cream,350
Broncolite Syrup,118.25
Beclox-N Cream,40
Bisotril 2.5mg Tablet,60
B Fine OD 20mg/20mg/5mg Tablet,75
Beclorom Cream,38
Bromin-D Tablet,220
Beclozole-N Cream,60
Briopan-D Capsule PR,106
Bromoheal-D Tablet,189
Budemon 0.5mg Respules,20.85
Brehike-LC Syrup,72
Bitol 800mg Tablet,42
Bacticin Ointment,61
Brumol Kid  100 mg/125 mg Tablet,4.5
Betalosin D 0.4mg/0.5mg Tablet MR,97
B Tax 50mg Tablet,48.75
Biofex 180mg Tablet,130
Baclower XL 30 Tablet,300
Baciclox 125mg/125mg Capsule,34.28
Bactogard 50mg Tablet DT,60.5
Bromogrand Tablet,570
BMD RISE 200IU Nasal Spray,1850
Bisocar 5mg Tablet,38
Beclorom Cream,38
Bye Cold Tablet,49
Betamark 5% Ointment,65
Baryl-MR Tablet,69
Betalosin D 0.4mg/0.5mg Tablet MR,97
Bosutris 100 Tablet,11000
Baclower XL 30 Tablet,300
B Tax 50mg Tablet,48.75
Broncho Tussin Syrup,115
Bacticin Ointment,61
Bitol 800mg Tablet,42
Bluflox 50mg Dry Syrup,27.37
Bromoheal-D Tablet,189
Beclocid G Ointment,52
Bocker-C Tablet,38
Brumol Kid  100 mg/125 mg Tablet,4.5
Braintam 800mg Tablet,80
Biocib-P Tablet,82
Bet 16mg Tablet,115
Betalar S 0.5mg Tablet,4.45
B2 Doc Eye Drop,482.55
Betmet-N Cream,45
Bptrack-Trio Tablet,144.91
Bploc R 25mg/2.5mg Tablet,141.8
Brix 250mg Suspension,36.95
Bvert 8mg Tablet,75
Benzil 5 Tablet,219.99
Bisamlo 7.5 Tablet,170
Benidin 8 Tablet,195.2
Bysipin Eye Drops,210
Britizilam 50mg Tablet,245.6
Bactizox 1500mg Injection,1990
Bilkro M Syrup,114.9
Broncocet-Forte OD Tablet,108
Betaderm gm Cream,49
Bactoclav 875 mg/125 mg Tablet,199
BUPROCARE 2MG TABLET,425
B Sure 16mg Tablet,66
Bigphylin Plus 200mg/5mg/10mg Tablet,270
Blufen Plus 100mg/4mg Tablet,158
Betapic-G Cream,139
Bentor Eye Drop,9.3
Biopride M 2mg/500mg Tablet,62
Bitvin-F 10mg/1mg Tablet,148
Bactout 500mg Tablet,312
Baclorest 10 Tablet,110
Bisolvon 8mg Tablet,7.35
Bellywell-M Tablet,116
Bionerv Injection,64
Betmiga 50mg Tablet,1066
Bio-CP Tablet,175
BMD Max 2.5mg Capsule,151
Brismox Eye Drop,110
Bacfen XL 30 Capsule ER,361
Blockleder 0.05% Lotion,75
Bral 500mg Tablet,16.08
Bio Liv Syrup,68.4
Biodine 5% Ointment,45.5
Brismox Eye Drop,110
Betaone-XL 25 Activ Tablet,86.26
Billasi-M Tablet,120
BE 90mg Tablet,95
Basalog 100IU/ml Refill Cartridge,1831.59
Betagrain 40mg Capsule TR,28.96
Benzole Tablet,1.43
Biopride 2mg Tablet,40
Beclosox-N Cream,25
Bromifax Eye Drop,199
Beta H 16mg Tablet,89.6
Bisect 10mg/5mg Tablet,222
Bonitar 400 Tablet,2750
Bestocid Syrup,54
Biozac 6mg Tablet,79
Bacfen XL 30 Capsule ER,361
Bemisol 400mg/150mg Tablet,16.99
Biodex 6mg Tablet SR,32.9
Broxil Syrup,64
Brentamin Tablet 10s,211
Belina Gel,300
Bendit 100mg Injection,3643.35
Betavert OD  16mg Tablet,65.05
Brokinz Syrup,71
Biocetamol Syrup,39.56
Betatine 8 Tablet,5
Bestin Eye Drop,180
Bdsure 22.5mg Injection,13968
Betalar 0.5mg Tablet,52.3
Benzz 100mg Injection,4007.36
Briv 75mg Tablet,220
Bisoday 2.5mg Tablet,35
Brivanext 100mg Tablet,328.3
Bioket 2% Shampoo,180
Biotor Asp 20mg/75mg Capsule,26
Bixith-P Tablet,91
Balcuf L Syrup,78
Bronlast FX 10mg/120mg Tablet,190
Bilaflex M 20mg/10mg Tablet,161
Bactipod CV 200mg/125mg Tablet,270
Benepack T 4mg/40mg Tablet,208.5
Broncho D Syrup,36
Bevacirel 400mg Injection,38856.34
Biodronate 60 Injection,3612
Betazine 40mg/10mg Capsule,108
Betablock XL 25 Tablet,45
Bue Touch 10mg Patch,2264
Bigcef 500 Tablet,410.22
Bonultra 60K Soft Gelatin Capsule,290
Bronchoril N 100mg/600mg Tablet,240
Beta Add-TR 40 Capsule,70
Bisoziff 5mg Tablet,96
Bilazee M Tablet,49
Benzoflam Gel,135
Betapro Forte 40mg/10mg Tablet,86.9
Bruflam 400mg/600mg Tablet,9
Bayros Gold 20 Capsule,239
Brovert FM 10mg/120mg/200mg Tablet,226
Biocetamol 500 Tablet,8.7
Bemisol Syrup,20
Bemisol Syrup,20
Biocetamol 500 Tablet,8.7
Benket 10mg Tablet,27.5
Becof T Syrup Delicious Orange,66
Brutal Tablet,29.5
Befen 10mg Tablet,133
Broncomix Expectorant,68
Beta SP 4mg Injection,5
Brivissa 50 Tablet,162.8
Bupron 300mg Tablet SR,82
Briv 100mg Tablet,300
Brovert FM 10mg/120mg/200mg Tablet,226
Bezalip Retard 400mg Tablet PR,219.25
Bypride 8mg Tablet,89
Bro-Cofdex Syrup Raspberry,115.5
Bioxime LB 200mg Tablet DT,149.5
Baclotab 10 Tablet,195.71
Brivetoin 100 Tablet,446.49
Bilacad M Oral Suspension Mango,130
Beepraz-D Capsule SR,60.5
Beatsart AM 40mg/5mg Tablet,52.4
Baxidin Tablet,32
Brinmide-B  Eye Drop,800
Brethese Syrup,72.71
Baclovish 5mg Syrup,183.4
Brupal Forte 400mg/500mg Tablet,13.75
Bloomglow Cream,220
Betzee S Cream,10.57
Bigphylin 100 Capsule,100
Bradilex Syrup,75
Bfexo M 10mg/120mg Tablet,110
Blomig P 10 mg/5 mg/325 mg Tablet,40
Betamil M Cream,24.75
B.P.Norm 40mg Tablet,62
Biomox Eye Drop,55.43
Betzee S Cream,10.57
Bloomglow Cream,220
Benzotril 0.25mg Tablet,20
Balamin 1500mcg Injection,50
Bitmet AM 5mg/50mg Tablet,67
Bradilex Syrup,75
Bvert OD 48mg Tablet CR,289
Bosutris 500 Tablet,11000
Bisalatin M 20mg/10mg Tablet,189
Brodin-LS Syrup,69
Broadicilin 100mg Drop,47.3
Brisdol Plus 37.5mg/325mg Tablet,38
Bactibade 2% Ointment,72
Bacloheal 10mg Tablet,99
Bphlo D 0.4mg/0.5mg Capsule SR,165
Belgyn 400mg Tablet,78.2
BETADERM G PLUS CREAM,61
Budenase 2.5 mg/1 mg Respules,26.23
Benzpride 2.5% Gel,30
Bisomax 5 Tablet,35
Bioten 10 Tablet,117
Bclo 10mg Tablet,124.84
Bronac Injection,122.6
Baclesta OD 20mg Tablet,170.94
Broncofil SR Capsule,345
Bfexo M 10mg/120mg Tablet,110
Belofen-P Tablet,49
Blomig P 10 mg/5 mg/325 mg Tablet,40
BETADERM G PLUS CREAM,61
Buropin XL 150mg Tablet,92
Betmet-CG Cream,50
Bronx Syrup,49.5
Bronac Injection,122.6
Broclars Kid 500mg Tablet,120
Budemed 0.5mg Respules,18.91
Babyfol NV Tablet,129
Bactomet 150mg/100mg Suspension,24.23
Brofist LM 10mg/5mg/200mg Tablet SR,170
Buxon XL 150 Tablet,122.43
Bacloheal 10mg Tablet,99
Belustine 40 Capsule,1125
Bclo 10mg Tablet,124.84
Biopolio Vaccine,229.8
Broxcof-LS Syrup,71
Brethmont L 5mg/10mg Tablet,169
Balatam 500mg Tablet,132
Biosone-C Eye Ointment,90
Belrin-D Tablet,30
Betlan 16mg Tablet,80
Baclofast 10mg Tablet,93
Bitatel AM 40mg/5mg Tablet,81
Banocide 50mg Tablet,4.8
Britam 25mg Tablet,87.7
Bilatru M 20mg/10mg Tablet,150
Bronkolin 2mg Syrup,16.8
Bibeta AM 5mg/5mg Tablet,142.5
Bdace 25mg Capsule,381.86
Baseboom 50mg Tablet,80
Bedoxim 200mg Tablet,213
Bisowel 5 Tablet,89
Bruspaz 4mg/50mg Tablet,125
Betamil N Cream,16.66
Balamin G Tablet,89
Biocid Oral Suspension Saunf,65
Bruzen MR 400mg/2mg Tablet,42
Bactoclav DS 400mg/57mg Tablet,139
Biowin Plus 100mg/500mg Tablet,32
Belcof Syrup,47.7
Biomol 20mg Tablet,80
Balvidine Ointment,75
Bala GP 300mg/500mcg Tablet,130
Brotrip RBD Tablet,185
Beclobet-C Cream,78
Brinim-P Tablet,35
Benzaday 15 Capsule ER,165
Bactimax Cream,65.5
Brozin Capsule,90
Brintellix 5mg Tablet,450
Bilamove Tablet,129
Brugesicp 400 mg/325 mg Tablet,11.92
Bilazo Tablet,190
Blurest 20mg/20mg/2.5mg Tablet,55
Berygest Tablet,181
Becoride 100mcg Inhaler,282.96
Blukoff LS Syrup,77
Brossil P Syrup,35
Barikind 4 Tablet,420
Biovert 24mg Tablet,150
Balin P Tablet,120
Bencef 500mg Tablet,257.11
Brozin Capsule,90
Bronkolyte DX Syrup,102.25
Balgab-M Tablet SR,161
Brugesicp 400 mg/325 mg Tablet,11.92
Betasalic Cream,51.73
Berygest Tablet,181
Blurest 20mg/20mg/2.5mg Tablet,55
Baclotab 5mg Tablet,106.02
Betavue 8mg Tablet,56
Beza 400mg Tablet XL,90
Buspidac 5mg Tablet,8.35
Betagan 0.5% Liquifilm,163.38
Blukoff LS Syrup,77
Botas Ophthalmic Solution,194
Bilamove Tablet,129
B Hold Tablet,84.9
Blzole Body Wash,360
Baygest SR 200mg Tablet,393
Blukof Junior Syrup,58
Berymol Syrup,66
Bilazo Tablet,190
Brintellix 5mg Tablet,450
Bookey Plus 10mg/10mg/2.5mg Tablet,42
Bupioset 150 Tablet PR,123
Benicef 500mg Capsule,152.5
Benicef 500mg Capsule,152.5
Bestoflox M Suspension,42.21
Bupioset 150 Tablet PR,123
Bilastibel 20mg Tablet,129
B G Cold Tablet,38.7
Benvax-Plus Tablet,17
Beclovax Lotion,117
Beworm Plus Tablet,22
Beclasone C Cream,43.8
Belrin-LM Syrup,68
Biziron 10mg Tablet,44
Btuss D Syrup,72
Bgclav-LB 625 Tablet,255
Brivup 25mg Tablet,95
Bronchosolvin Syrup,29
Bisomend 2.5 Tablet,70
